,date,open,high,low,close,diff,volume
269,2021-10-20,72700,73000,70700,71000,1200,803752
270,2021-10-21,71200,73200,70500,72400,1400,984482
271,2021-10-22,73300,78300,72500,75800,3400,3344979
272,2021-10-25,75600,75800,73100,73700,2100,986822
273,2021-10-26,74300,77000,74100,75200,1500,1432184
274,2021-10-27,74600,80600,74600,80100,4900,3102975
275,2021-10-28,79700,82600,77000,78700,1400,2936316
276,2021-10-29,79500,81200,77900,79800,1100,1748117
277,2021-11-01,81600,88600,77500,87900,8100,9173459
278,2021-11-02,88500,90000,86200,86400,1500,4425762
279,2021-11-03,84500,90800,84100,89000,2600,4770973
280,2021-11-04,90400,98300,89500,91200,2200,10849018
281,2021-11-05,91700,97900,91200,97900,6700,6064773
282,2021-11-08,92000,100000,91800,99200,1300,5358804
283,2021-11-09,99400,100800,96200,98500,700,3369861
284,2021-11-10,97500,99600,91400,91400,7100,4201681
285,2021-11-11,92400,96700,92100,93000,1600,4675848
286,2021-11-12,95000,98300,91800,96900,3900,4450860
287,2021-11-15,97900,99500,95100,97200,300,2017927
288,2021-11-16,97900,110100,97100,108700,11500,9275769
289,2021-11-17,110800,116000,106200,107900,800,5244873
290,2021-11-18,110200,110400,103500,108600,700,3560454
291,2021-11-19,107900,113100,105700,107500,1100,3507244
292,2021-11-22,104900,106700,95400,97000,10500,4985772
293,2021-11-23,95100,99400,94100,96400,600,2578967
294,2021-11-24,96400,98400,91700,96300,100,2720967
295,2021-11-25,96900,103000,96900,101100,4800,3684202
296,2021-11-26,101900,106700,100100,102400,1300,2859762
297,2021-11-29,99500,107800,99200,102800,400,2752409
298,2021-11-30,104900,106300,95200,98600,4200,6012279
299,2021-12-01,99000,100600,95700,96700,1900,1949267
300,2021-12-02,94600,97500,89800,91500,5200,2444261
301,2021-12-03,92400,95600,91600,95200,3700,1512354
302,2021-12-06,93900,94400,90100,90200,5000,1441599
303,2021-12-07,91600,92200,88200,90100,100,1289247
304,2021-12-08,92100,96000,91900,94600,4500,1894639
305,2021-12-09,95600,96100,93000,94700,100,1165530
306,2021-12-10,93400,94500,90700,91000,3700,1065036
307,2021-12-13,91000,91600,89200,90200,800,872068
308,2021-12-14,89500,91100,88600,89000,1200,896228
309,2021-12-15,89000,90200,87000,88900,100,788259
310,2021-12-16,90000,92200,88500,88600,300,1111450
311,2021-12-17,88600,88600,85800,86700,1900,1034490
312,2021-12-20,86100,88000,85900,85900,800,579216
313,2021-12-21,86300,88500,85800,88300,2400,703402
314,2021-12-22,89200,91700,88900,90700,2400,959609
315,2021-12-23,91700,92900,89300,89700,1000,789822
316,2021-12-24,90500,92300,89800,90700,1000,698701
317,2021-12-27,91000,92700,89300,92200,1500,864656
318,2021-12-28,92200,94600,91300,93100,900,1316288
319,2021-12-29,93500,94700,89200,89600,3500,1570021
320,2021-12-30,90200,91300,89200,91000,1400,758703
321,2022-01-03,91700,96200,91500,93000,2000,1775041
322,2022-01-04,93700,93900,90100,90300,2700,887824
323,2022-01-05,89700,89800,86000,86400,3900,1223206
324,2022-01-06,82500,82700,74000,74100,12300,4080196
325,2022-01-07,74600,76300,74000,74300,200,1567341
326,2022-01-10,73000,76000,72900,74200,100,1147844
327,2022-01-11,73600,75300,71600,72700,1500,1130298
328,2022-01-12,73500,75200,72900,74400,1700,820833
329,2022-01-13,74700,75000,70700,71100,3300,1103603
330,2022-01-14,68900,71400,68300,70800,300,837413
331,2022-01-17,69800,71300,69200,69800,1000,484310
332,2022-01-18,69800,71400,68400,68900,900,516578
333,2022-01-19,67300,69100,66400,68000,900,877505
334,2022-01-20,68400,71700,67700,71400,3400,784814
335,2022-01-21,70600,72900,69800,71800,400,841905
336,2022-01-24,71600,71800,68300,69700,2100,784006
337,2022-01-25,70300,71500,68800,69100,600,910576
338,2022-01-26,69300,72000,69200,70500,1400,861832
339,2022-01-27,71000,71000,65300,65700,4800,1219475
340,2022-01-28,66100,66700,63900,65700,0,865015
341,2022-02-03,66200,68400,65800,66300,600,809350
342,2022-02-04,66100,75200,66100,73700,7400,2888619
343,2022-02-07,75000,75100,72200,73000,700,1364566
344,2022-02-08,74000,78800,73500,77200,4200,2654176
345,2022-02-09,77900,78500,73500,74300,2900,2357851
346,2022-02-10,74000,74200,69100,69900,4400,2094214
347,2022-02-11,68700,72400,68000,70800,900,1368707
348,2022-02-14,69300,70500,68500,69500,1300,874134
349,2022-02-15,69700,71900,68600,68700,800,786561
350,2022-02-16,71100,71900,69900,71700,3000,830498
351,2022-02-17,71500,72500,68200,70300,1400,989879
352,2022-02-18,68600,71800,68600,70800,500,577259
353,2022-02-21,69500,71800,69400,71700,900,596785
354,2022-02-22,70400,71200,69700,70200,1500,561959
355,2022-02-23,71000,72200,70600,72100,1900,708609
356,2022-02-24,71400,71900,69000,69000,3100,797713
357,2022-02-25,70900,73900,70800,72500,3500,1250082
358,2022-02-28,72500,73600,71800,73500,1000,703332
359,2022-03-02,73500,76000,73400,75500,2000,990712
